split,n,n_pos,base_rate,f1,precision,recall,pr_auc,roc_auc,brier,ece
random row split (leaky),29211,806,0.027592345349354695,0.6210995542347697,0.5169002473206925,0.7779156327543424,0.6220805070388495,0.9828116707863004,0.025135161353500277,0.06413566893304251
session-level split (correct),28421,813,0.02860560852890468,0.6041666666666666,0.5704918032786885,0.6420664206642066,0.45465404140110466,0.9219407097359875,0.026172443584177845,0.05848542103614487
