model,calibration,condition,n,n_pos,base_rate,f1,precision,recall,pr_auc,roc_auc,brier,ece,experiment,mean_psi
RandomForest,uncalibrated,in-domain,12321,453,0.03676649622595569,0.5343777197563099,0.4410919540229885,0.6777041942604857,0.4384372066515146,0.936619034545564,0.035378313068527845,0.06822427223339116,4G -> 5G,0.43255346685093476
RandomForest,uncalibrated,out-of-domain,42172,369,0.008749881437920895,0.0,0.0,0.0,0.022811740313670694,0.6975144481727333,0.013067135110334612,0.046609752903196765,4G -> 5G,0.43255346685093476
RandomForest,platt,in-domain,12321,453,0.03676649622595569,0.5176715176715176,0.48919449901768175,0.5496688741721855,0.4384372066515146,0.936619034545564,0.028007658207067354,0.02074177447333798,4G -> 5G,0.43255346685093476
RandomForest,platt,out-of-domain,42172,369,0.008749881437920895,0.0,0.0,0.0,0.022811740313670698,0.6975144481727333,0.00880490804816485,0.008879481284493647,4G -> 5G,0.43255346685093476
RandomForest,isotonic,in-domain,12321,453,0.03676649622595569,0.39365918097754293,0.4901315789473684,0.32891832229580575,0.4016803097123908,0.9359132391553594,0.02681027394339347,0.01360057213671024,4G -> 5G,0.43255346685093476
RandomForest,isotonic,out-of-domain,42172,369,0.008749881437920895,0.0,0.0,0.0,0.020831363496581996,0.6969711202506375,0.008826653122846575,0.004191351310044425,4G -> 5G,0.43255346685093476
GradientBoosting,uncalibrated,in-domain,12321,453,0.03676649622595569,0.47648902821316613,0.4523809523809524,0.5033112582781457,0.37999500148228693,0.9097444963025957,0.03323842136847949,0.02297263331168846,4G -> 5G,0.43255346685093476
GradientBoosting,uncalibrated,out-of-domain,42172,369,0.008749881437920895,0.005050505050505051,0.037037037037037035,0.0027100271002710027,0.01924883741630585,0.6892815164067723,0.009414205159779029,0.006654691429026991,4G -> 5G,0.43255346685093476
GradientBoosting,platt,in-domain,12321,453,0.03676649622595569,0.2961783439490446,0.5314285714285715,0.2052980132450331,0.37999500148228693,0.9097444963025957,0.027239462622804054,0.025721249573332317,4G -> 5G,0.43255346685093476
GradientBoosting,platt,out-of-domain,42172,369,0.008749881437920895,0.0,0.0,0.0,0.01924883741630585,0.6892815164067723,0.009143787896679505,0.012743618982237118,4G -> 5G,0.43255346685093476
GradientBoosting,isotonic,in-domain,12321,453,0.03676649622595569,0.28938906752411575,0.5325443786982249,0.1986754966887417,0.3666572910608502,0.907868079410677,0.02781541959758911,0.026240737808980043,4G -> 5G,0.43255346685093476
GradientBoosting,isotonic,out-of-domain,42172,369,0.008749881437920895,0.0,0.0,0.0,0.018238512831359962,0.6910819992107775,0.009184456475880615,0.012952485905731722,4G -> 5G,0.43255346685093476
RandomForest,uncalibrated,in-domain,12557,439,0.03496057975631122,0.5214348206474191,0.42329545454545453,0.6788154897494305,0.48828913118974043,0.9119540539290749,0.04026524436466866,0.08749843190308115,mobile -> static,0.13069656916583494
RandomForest,uncalibrated,out-of-domain,41218,1011,0.024528118783055948,0.4814189189189189,0.4200442151805453,0.5637982195845698,0.2805744388220182,0.8931953820482466,0.032152967943089826,0.07488184468283667,mobile -> static,0.13069656916583494
RandomForest,platt,in-domain,12557,439,0.03496057975631122,0.4194053208137715,0.67,0.3052391799544419,0.48828913118974054,0.9119540539290748,0.02328908874165749,0.008249983861063423,mobile -> static,0.13069656916583494
RandomForest,platt,out-of-domain,41218,1011,0.024528118783055948,0.20441988950276244,0.33867276887871856,0.14638971315529178,0.28057442750488676,0.8931952098434617,0.019764019731361784,0.011127196803671836,mobile -> static,0.13069656916583494
RandomForest,isotonic,in-domain,12557,439,0.03496057975631122,0.5121951219512195,0.46238532110091746,0.5740318906605922,0.39532068151757616,0.9080034369700226,0.024884851101819525,0.010320891269976873,mobile -> static,0.13069656916583494
RandomForest,isotonic,out-of-domain,41218,1011,0.024528118783055948,0.455011655011655,0.43033509700176364,0.4826904055390702,0.2957693627927963,0.891450025052106,0.018683825109121966,0.007388837056447514,mobile -> static,0.13069656916583494
GradientBoosting,uncalibrated,in-domain,12557,439,0.03496057975631122,0.42413162705667273,0.35419847328244275,0.5284738041002278,0.41667277473002334,0.8503638857235664,0.038322157586239025,0.043747794014517505,mobile -> static,0.13069656916583494
GradientBoosting,uncalibrated,out-of-domain,41218,1011,0.024528118783055948,0.24470063220528077,0.19606674612634087,0.3254203758654797,0.1744480451187501,0.8157939930887331,0.03764061170074408,0.047774588796667544,mobile -> static,0.13069656916583494
GradientBoosting,platt,in-domain,12557,439,0.03496057975631122,0.11789473684210526,0.7777777777777778,0.06378132118451026,0.41667277473002334,0.8503638857235664,0.026637604144081388,0.006062994594256881,mobile -> static,0.13069656916583494
GradientBoosting,platt,out-of-domain,41218,1011,0.024528118783055948,0.07899461400359066,0.42718446601941745,0.043521266073194856,0.1744480451187501,0.8157939930887331,0.02192975552529866,0.0027967519378052507,mobile -> static,0.13069656916583494
GradientBoosting,isotonic,in-domain,12557,439,0.03496057975631122,0.1710794297352342,0.8076923076923077,0.09567198177676538,0.37540048052297725,0.8487182417691485,0.02597815929322999,0.005566494122279839,mobile -> static,0.13069656916583494
GradientBoosting,isotonic,out-of-domain,41218,1011,0.024528118783055948,0.11375212224108659,0.40119760479041916,0.06627101879327399,0.15731253829267544,0.8125326435695278,0.022284802250029125,0.0037825621935936127,mobile -> static,0.13069656916583494
