experiment,model,f1_in,f1_out,f1_gap,ece_in,ece_out,ece_degradation,brier_in,brier_out,base_rate_in,base_rate_out
4G -> 5G,GradientBoosting,0.34529451591062965,0.0,0.34529451591062965,0.03205675429802861,0.00699646632183743,-0.025060287976191177,0.04909814064988971,0.00890432168645979,0.05580563606092372,0.008749881437920895
4G -> 5G,LogisticRegression,0.41964545190351643,0.029618082618862042,0.39002736928465437,0.22128874666079767,0.07938192751692587,-0.14190681914387182,0.11552769624851107,0.029110702977020616,0.05580563606092372,0.008749881437920895
4G -> 5G,Persistence,0.430751837196156,0.0847457627118644,0.3460060744842916,0.029783560461244373,0.0073271364886654654,-0.02245642397257891,0.062095332058950486,0.015365645451958645,0.05580563606092372,0.008749881437920895
4G -> 5G,RandomForest,0.5613874942948426,0.0,0.5613874942948426,0.07131462694289308,0.04560460200242813,-0.025710024940464947,0.04849197054240544,0.013001206815085925,0.05580563606092372,0.008749881437920895
5G -> 4G,GradientBoosting,0.09090909090909091,0.012075471698113207,0.0788336192109777,0.027387041125705183,0.04963984599528985,0.02225280486958467,0.01818641770444426,0.04722465555678326,0.010503700167104321,0.03971158375303453
5G -> 4G,LogisticRegression,0.03980099502487562,0.10767102883285457,-0.06787003380797894,0.381419732860054,0.3198023231699723,-0.06161740969008167,0.20910106182254798,0.19435992044185849,0.010503700167104321,0.03971158375303453
5G -> 4G,Persistence,0.05668016194331984,0.41333959605448567,-0.35665943411116585,0.008593936500358081,0.021486285734990396,0.012892349234632314,0.018540622264661414,0.045255262871843185,0.010503700167104321,0.03971158375303453
5G -> 4G,RandomForest,0.029411764705882353,0.0,0.029411764705882353,0.037941346271680484,0.021420829896362324,-0.01652051637531816,0.013986411719615593,0.040588798625848126,0.010503700167104321,0.03971158375303453
mobile -> static,GradientBoosting,0.4534639608117565,0.29153605015673983,0.16192791065501666,0.044037023505343414,0.04455728853051984,0.0005202650251764224,0.03803704655818774,0.035306620105338415,0.032703488372093026,0.024528118783055948
mobile -> static,LogisticRegression,0.2103960396039604,0.19930295598296113,0.011093083620999256,0.24722480978315717,0.22750009586855746,-0.019724713914599706,0.13161826994129713,0.10931888898441006,0.032703488372093026,0.024528118783055948
mobile -> static,Persistence,0.36524822695035464,0.3411167512690355,0.024131475681319126,0.01883944543828265,0.015114755689261973,-0.003724689749020677,0.04002683363148479,0.031491096123053036,0.032703488372093026,0.024528118783055948
mobile -> static,RandomForest,0.4858181818181818,0.4872427983539095,-0.001424616535727674,0.07728156135295836,0.07640214957516084,-0.0008794117777975174,0.03681940466372594,0.03253488920923628,0.032703488372093026,0.024528118783055948
static -> mobile,GradientBoosting,0.22038567493112948,0.18487394957983194,0.03551172535129754,0.015461679266872716,0.01625764188578316,0.0007959626189104427,0.022939887777356963,0.027479159454715272,0.019132057862809144,0.027603647243197037
static -> mobile,LogisticRegression,0.173217854763491,0.2130091438071488,-0.03979128904365781,0.20068547631839978,0.2272886863458949,0.026603210027495133,0.09684286196224125,0.11150190333942689,0.019132057862809144,0.027603647243197037
static -> mobile,Persistence,0.2706766917293233,0.38317757009345793,-0.11250087836413464,0.013065795613625758,0.015529277674882463,0.0024634820612567058,0.027158189454036398,0.03291067103576008,0.019132057862809144,0.027603647243197037
static -> mobile,RandomForest,0.15,0.2555147058823529,-0.10551470588235293,0.04771927478983487,0.051496832896766445,0.003777558106931575,0.021573151403188367,0.02622299565404245,0.019132057862809144,0.027603647243197037
